word,freq
1234商场,0
cocopark,0
万城,0
万象城,0
万象天地,0
万象汇,6
三亚,0
三联公园,0
三联桥,0
上,0
上城,0
上塘,3
上塘站,1
上步,0
上步区,0
上步路,0
上水,0
上水径,0
上沙,0
上海,0
上海宾馆,0
上海市,0
下北,0
下梅林,0
下沙,0
下沙站,0
东乐花园,0
东二,0
东京,4
东京湾,0
东城纪念馆,0
东富华侨城,0
东昌路,0
东晓,0
东晓街道,0
东晓路,0
东海,0
东海站,0
东涌,2
东湖,0
东湖公园,0
东湖水库,0
东站,0
东纵纪念,0
东莞,5
东门,4
东门步行街,0
东门町,0
东门老街,0
东门街,0
中国,1
中国世贸大厦,0
中山,0
中山公园,0
中山市,0
中山路,0
中心,0
中心城,0
中心路,0
中环,3
中英街,0
丰盛町,0
临淄,0
丹竹头,0
主山,0
丽湖,0
丽湖公园,0
乐园路,0
乐清,0
九龙,0
书城,0
书院街,0
二外,0
云南,0
云湖,0
五华,0
五和,0
五和站,0
五河,0
五洲城,0
五湖,0
井冈山,0
井田,0
亚洲,1
京基大厦,0
京基大楼,0
人人购物广场,0
人民公园,0
人民桥,0
人民桥站,0
人民路,0
仙湖,0
仙湖植物园,0
仙湖植物馆,0
仙湖站,0
伦敦,0
体育西路,0
佛山,2
俄罗斯,0
保利剧院,0
保安,1
光明,1
光明农场,0
光明区,0
光明安,0
光明招待所,0
光明科学城,0
光雅园,0
八卦岭,4
公主坟,0
公园,0
公常路,0
公明,0
六合城,0
六合成,0
六合村,0
六和城,0
关内,6
关内关,0
关南,0
关外,0
兴宁,0
兴宁汽车站,0
冈厦北,0
冬瓜岭,0
凤岗,0
前海,0
前海湾,0
前海湾站,0
前海石公园,0
前海站,0
前海路,0
前湾公园站,0
前湾站,0
北京,6
北方大厦,0
北村,0
北环,0
北环路,0
北站,0
区中区,0
区域,0
华侨城创意园,0
华南城,0
华发路,0
华城路,0
华强,0
华强北,7
华强北站,0
华强北路,0
华强地铁站,0
华强大厦,0
华强路,0
华润,0
华润万象天地,0
华润大厦,0
华润大厦人才公园,0
华清园,0
卓悦中心,0
卓越汇商场,0
南京,0
南京路,0
南坑,0
南坑站,0
南坪,0
南头,0
南头关,0
南头火车站,0
南头营,0
南山,41
南山书城,1
南山体育,0
南山区,4
南山区科技园,0
南山市,0
南山智园,0
南山科技园,0
南山站,1
南山道,0
南山高新园,0
南岭,3
南岭花园,3
南海,1
南湖路,0
南湾,2
南湾街道,0
南澳,0
南田,0
南约,0
南路,0
博丰大厦,0
博罗,0
厦,0
厦北,0
厦北地铁站,0
厦门,11
双拥街,0
